NAME                 Cpus_allowed_list
gh_aio-cpu-6011      0-7
gh_aio-cpu-6012      0-7
gh_aio-cpu-6013      0-7
gh_aio-cpu-6014      0-7
gh_aio-cpu-6015      0-7
gh_aio-cpu-6016      0-7
gh_aio-cpu-6017      0-7
gh_aio-cpu-6018      0-7
gh_aio-cpu-6019      0-7
gh_aio-cpu-6020      0-7
gh_aio-cpu-6021      0-7
gh_aio-cpu-6022      0-7
gh_aio-cpu-6023      0-7
gh_aio-cpu-6024      0-7
gh_aio-cpu-6025      0-7
gh_aio-cpu-6026      0-7
gh_aio-cpu-6027      0-7
gh_aio-cpu-6028      0-7
gh_aio-cpu-6029      0-7
gh_aio-cpu-7000      0-7
gh_aio-cpu-7001      0-7
gh_aio-cpu-7002      0-7
gh_aio-cpu-7003      0-7
gh_aio-cpu-7004      0-7
gh_aio-cpu-7005      0-7
gh_aio-cpu-7006      0-7
gh_aio-cpu-7007      0-7
gh_aio-cpu-7008      0-7
gh_aio-cpu-7009      0-7
gh_aio-cpu-7010      0-7
gh_aio-cpu-7011      0-7
gh_aio-cpu-7012      0-7
gh_aio-cpu-7013      0-7
gh_aio-cpu-7014      0-7
gh_aio-cpu-7015      0-7
gh_aio-cpu-7016      0-7
gh_aio-cpu-7017      0-7
gh_aio-cpu-7018      0-7
gh_aio-cpu-7019      0-7
gh_aio-cpu-7020      0-7
gh_aio-cpu-7021      0-7
gh_aio-cpu-7022      0-7
gh_aio-cpu-7023      0-7
gh_aio-cpu-7024      0-7
gh_aio-cpu-7025      0-7
gh_aio-cpu-7026      0-7
gh_aio-cpu-7027      0-7
gh_aio-cpu-7028      0-7
gh_aio-cpu-7029      0-7
memory_monitor       0-7
gh_tcpRetransmi      0
gh_Transform000      0-7
gh_Transform001      0-7
gh_Transform002      0-7
gh_Transform003      0-7
gh_CritTrnsf000      0-7
gh_CritTrnsf001      0-7
gh_CCIReader         0-7
gh_keySigningCS      0-7
gh_FrpMon            0
gh_krpm              0
gh_krpd              0
gh_PhantomTh000      0-7
gh_PhantomTh000      0-7
gh_CrpMon            0
gh_DdcGzLogWork      0-7
gh_DdcGzLogWork      0-7
gh_GzLogWorker       0-7
gh_GzLogWorker       0-7
gh_GzLogWorker       0-7
gh_GzLogWorker       0-7
gh_GzLogWorker       0-7
gh_MaintThr00        0
gh_MaintThr01        0
gh_MaintThr02        0
fpj_CpCompact        0-7
fpj_TagsDBWr         0
fpj_CtCompact        0
gh_PhantomTh001      1
gh_PhantomTh002      2
gh_icpCli0           0
gh_icpCli1           1
gh_icpCli2           2
gh_icpCli3           3
gh_PhantomTh003      3
gh_icpCli4           4
gh_icpCli5           5
gh_icpCli6           6
gh_icpCli7           7
gh_PhantomTh004      4
gh_PhantomTh005      5
gh_PhantomTh006      6
gh_PhantomTh007      7
akamill_libmgr       0-7
gh_WorkerThread      0-7
gh_WorkerThread      0-7
IcpServer00          0-7
IcpServer01          0-7
IcpServer02          0-7
IcpServer03          0-7
gh_CertUnloader      0-7
gh_quicServer        0-7
gh_WorkerThread      0-7
